doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Alok Ahuja,General Surgeon,34,"Sector-18 , Chandigarh",Dr. Alok Ahuja's Clinic,300.0,Chandigarh
Dr. Sonica Chugh,General Physician,33,"Sector 21 , Chandigarh","Gynae, Fertility & IVF Centre",1000.0,Chandigarh
Dr. Damanjit,General Physician,50,"Sector-19 , Chandigarh",JP Medical Centre,700.0,Chandigarh
Dr. Ashok Sharma,Laparoscopic Surgeon,49,"Sector-42 , Chandigarh",Laparoscopic and General Surgery Clinic,500.0,Chandigarh
Dr. Anil Bhardwaj,General Surgeon,49,"Sector 44 , Chandigarh",Bhardwaj Clinic,300.0,Chandigarh
Dr. Sanchit Kumar,Pulmonologist,17,"Sector 40 , Chandigarh",Chest & Sleep Care Clinic,600.0,Chandigarh
Dr. Ravinder Chadha,General Physician,51,"Sector 22 , Chandigarh",Dr. Chadha's Pain Management & Physiotherapy Clinic,500.0,Chandigarh
Dr. Prem Chandar,Radiologist,54,"Sector 35 , Chandigarh",Sai Guru Nanak Hospital,200.0,Chandigarh
Dr. S. Mehta,General Physician,53,"Sector-19 , Chandigarh",Dr. Mehta's Medical & Dental Clinic,200.0,Chandigarh
Dr. Kirti Prasad,General Physician,14,"Sector- 41 , Chandigarh",Vardaan Clinics,,Chandigarh
Dr. Chhavi Aggarwal,General Physician,7,"Sector 34 , Chandigarh",Healing Hospital,500.0,Chandigarh
Dr. Sudhir Kumar Gupta,General Physician,43,"Sector 47 , Chandigarh",Kaushal Hospital,250.0,Chandigarh
Dr. Renu Tayal,Gynecologist/Obstetrician,35,"Sector 35 , Chandigarh",Abhilasha Hospital,500.0,Chandigarh
Dr. Pawan Mittal,Urologist,23,"Zirakpur , Chandigarh",VCare Hospital,500.0,Chandigarh
Dr. Anil Kumar,General Physician,45,"Sector-45 , Chandigarh",Divya Clinic,200.0,Chandigarh
Dr. Harsh Kumar Aggarwal,General Surgeon,31,"Sector 40 , Chandigarh",Tarini's Hair Transplant Clinic,400.0,Chandigarh
Dr. Gursimran Singh,General Surgeon,14,"Sector 8 , Chandigarh",Apollo Clinic,600.0,Chandigarh
Dr. Ranjit Sharma,General Physician,44,"Sector 22 , Chandigarh",Maya Memorial Medicaid,250.0,Chandigarh
Dr. Ravul Jindal,General Surgeon,32,"Sector 36 , Chandigarh",Indian Vascular Surgery Centre (IVS),2000.0,Chandigarh
Dr. Geetika Garg,Internal Medicine,19,"Sector 27 , Chandigarh",Prime Healthcare,800.0,Chandigarh
Dr. Vivek Singla,General Surgeon,21,"Sector-33 , Chandigarh",Landmark Hospital,500.0,Chandigarh
Dr. Vijay Chopra,General Physician,48,"Sector 37 C , Chandigarh",Dr. Vijay Chopra Clinic,300.0,Chandigarh
Dr. Sumit Singh Gautam,General Surgeon,12,"Sector 34 , Chandigarh",Healing Hospital,700.0,Chandigarh
Dr. Ashish Chaudhry,General Physician,17,"Sector 30 , Chandigarh",Dr. Chaudhary's Clinic,300.0,Chandigarh
Dr. Devinder Garg,General Physician,51,"Sector 40 , Chandigarh",Ell Dee Clinic,500.0,Chandigarh
Dr. Loveleen Aggarwal,Neurologist,34,"Industrial Area Phase I , Chandigarh",Eden Hospital,800.0,Chandigarh
Dr. Minna Jakhar,General Physician,46,"Naya Gaon , Chandigarh",Jakhar Hospital,150.0,Chandigarh
Dr. Satender Pal Singh,General Physician,49,"Sector 8 , Chandigarh",Dr Satender Pal Singh's Practice,10.0,Chandigarh
Dr. Himmat Kadian,General Physician,7,"Sector 30 , Chandigarh",Dr. Himmat Kadian's Clinic,500.0,Chandigarh
Dr. Vikas Sandhir,General Physician,33,"Sector 34 , Chandigarh",Dr. Vikas Sandhir Clinic,500.0,Chandigarh
Dr. Bouri Anil Kumar,General Physician,57,"Sector-45 , Chandigarh",Divya Clinic,,Chandigarh
Dr. Manuj Chhabra,General Physician,30,"Sector 30 , Chandigarh",Chhabra Clinic,150.0,Chandigarh
Dr. Harbant Singh,General Surgeon,41,"Sector 21 , Chandigarh",Dr Harbant's Surgical Clinic,700.0,Chandigarh
Dr. Vikas Raghove,General Physician,19,"Manimajra , Chandigarh",Dr. Vikas Raghav's Clinic,500.0,Chandigarh
